ProductReference;ProductName;GarmentType;Material;Size;Collection;Weight
PRD00039;Coat Polyester L;Coat;Polyester;L;Winter;1.2
PRD00040;Jacket Cotton XS;Jacket;Cotton;XS;Spring;0.75
PRD00041;Shirt Silk S;Shirt;Silk;S;Spring;0.15
PRD00042;Dress Cotton L;Dress;Cotton;L;Spring;0.45
PRD00043;Shirt Cotton L;Shirt;Cotton;L;Summer;0.19
PRD00044;Blouse Polyester M;Blouse;Polyester;M;Autumn;0.2
PRD00045;Pants Linen S;Pants;Linen;S;Summer;0.41
PRD00046;Suit Polyester L;Suit;Polyester;L;Summer;0.76
PRD00047;Pants Cotton M;Pants;Cotton;M;Winter;0.38
PRD00048;Dress Cotton S;Dress;Cotton;S;Winter;0.43
PRD00049;Skirt Linen M;Skirt;Linen;M;Summer;0.24
PRD00050;Shirt Denim XL;Shirt;Denim;XL;Spring;0.27
PRD00051;Shorts Linen XS;Shorts;Linen;XS;Autumn;0.27
PRD00052;T-Shirt Polyester L;T-Shirt;Polyester;L;Winter;0.12
PRD00053;Shorts Silk M;Shorts;Silk;M;Spring;0.25
PRD00054;Blouse Polyester M;Blouse;Polyester;M;Autumn;0.17
PRD00055;Skirt Polyester L;Skirt;Polyester;L;Autumn;0.3
PRD00056;Shorts Polyester XL;Shorts;Polyester;XL;Spring;0.27
PRD00057;Shirt Polyester S;Shirt;Polyester;S;Summer;0.15
PRD00058;Shirt Linen S;Shirt;Linen;S;Spring;0.19
PRD00059;Shirt Polyester XL;Shirt;Polyester;XL;Winter;0.15
PRD00060;Pants Cotton L;Pants;Cotton;L;Spring;0.41
PRD00061;Jacket Cotton M;Jacket;Cotton;M;Spring;0.97
PRD00062;Pants Cotton M;Pants;Cotton;M;Summer;0.37
PRD00063;T-Shirt Polyester L;T-Shirt;Polyester;L;Autumn;0.12
PRD00064;Jacket Cotton L;Jacket;Cotton;L;Spring;0.74
PRD00065;Pants Cotton XL;Pants;Cotton;XL;Spring;0.38
PRD00066;Skirt Wool M;Skirt;Wool;M;Summer;0.35
PRD00067;Shirt Wool M;Shirt;Wool;M;Summer;0.21
PRD00068;T-Shirt Linen L;T-Shirt;Linen;L;Autumn;0.13
PRD00069;Shirt Polyester M;Shirt;Polyester;M;Winter;0.16
PRD00070;Hoodie Silk M;Hoodie;Silk;M;Spring;0.6
PRD00071;T-Shirt Denim M;T-Shirt;Denim;M;Autumn;0.15
PRD00072;Shirt Linen S;Shirt;Linen;S;Autumn;0.18
PRD00073;Shirt Polyester M;Shirt;Polyester;M;Summer;0.16
PRD00074;T-Shirt Cotton L;T-Shirt;Cotton;L;Winter;0.18
PRD00075;Coat Denim L;Coat;Denim;L;Winter;1.96
PRD00076;Sweater Cotton M;Sweater;Cotton;M;Summer;0.77
PRD00077;T-Shirt Cotton S;T-Shirt;Cotton;S;Winter;0.14
PRD00078;Shirt Polyester M;Shirt;Polyester;M;Summer;0.18
PRD00079;Jacket Cotton L;Jacket;Cotton;L;Summer;0.72
PRD00080;Shirt Denim M;Shirt;Denim;M;Summer;0.27
PRD00081;T-Shirt Polyester L;T-Shirt;Polyester;L;Spring;0.13
PRD00082;Suit Polyester M;Suit;Polyester;M;Autumn;0.86
PRD00083;Pants Wool S;Pants;Wool;S;Autumn;0.58
PRD00084;Shirt Polyester L;Shirt;Polyester;L;Spring;0.15
PRD00085;Pants Cotton S;Pants;Cotton;S;Spring;0.46
PRD00086;Pants Polyester M;Pants;Polyester;M;Summer;0.36
PRD00087;Sweater Wool S;Sweater;Wool;S;Winter;0.84
PRD00088;Suit Polyester S;Suit;Polyester;S;Winter;0.95
PRD00089;Blouse Linen M;Blouse;Linen;M;Summer;0.22
PRD00090;Dress Cotton M;Dress;Cotton;M;Spring;0.5
PRD00091;Shirt Cotton L;Shirt;Cotton;L;Summer;0.2
PRD00092;Coat Cotton L;Coat;Cotton;L;Autumn;1.31
PRD00093;Sweater Cotton L;Sweater;Cotton;L;Winter;0.75
PRD00094;Skirt Linen M;Skirt;Linen;M;Autumn;0.29
PRD00095;T-Shirt Linen L;T-Shirt;Linen;L;Summer;0.13
PRD00096;Dress Cotton M;Dress;Cotton;M;Winter;0.59
PRD00097;Dress Polyester M;Dress;Polyester;M;Spring;0.38
PRD00098;Jacket Wool M;Jacket;Wool;M;Summer;0.79
PRD00099;Shirt Cotton XL;Shirt;Cotton;XL;Summer;0.24
PRD00100;Shirt Cotton S;Shirt;Cotton;S;Summer;0.22
PRD00101;Shirt Denim XL;Shirt;Denim;XL;Winter;0.28
PRD00102;Suit Polyester S;Suit;Polyester;S;Spring;0.77
PRD00103;Pants Denim M;Pants;Denim;M;Spring;0.54
PRD00104;Dress Cotton M;Dress;Cotton;M;Winter;0.44
PRD00105;Blouse Wool L;Blouse;Wool;L;Winter;0.29
PRD00106;Pants Cotton S;Pants;Cotton;S;Summer;0.36
PRD00107;Jacket Cotton L;Jacket;Cotton;L;Autumn;0.82
PRD00108;Sweater Polyester L;Sweater;Polyester;L;Summer;0.61
PRD00109;Pants Cotton L;Pants;Cotton;L;Summer;0.36
PRD00110;Shirt Cotton M;Shirt;Cotton;M;Winter;0.21
PRD00111;Pants Cotton XL;Pants;Cotton;XL;Summer;0.41
PRD00112;Shirt Cotton L;Shirt;Cotton;L;Spring;0.21
PRD00113;Shorts Wool M;Shorts;Wool;M;Summer;0.35
PRD00114;T-Shirt Polyester L;T-Shirt;Polyester;L;Spring;0.13
PRD00115;Suit Cotton M;Suit;Cotton;M;Autumn;0.93
PRD00116;Blouse Cotton M;Blouse;Cotton;M;Spring;0.21
PRD00117;T-Shirt Cotton M;T-Shirt;Cotton;M;Summer;0.13
PRD00118;Shirt Polyester M;Shirt;Polyester;M;Summer;0.15
PRD00119;Blouse Cotton S;Blouse;Cotton;S;Summer;0.21
PRD00120;Skirt Linen M;Skirt;Linen;M;Winter;0.31
PRD00121;T-Shirt Cotton L;T-Shirt;Cotton;L;Spring;0.15
PRD00122;Blouse Cotton XL;Blouse;Cotton;XL;Summer;0.27
PRD00123;Pants Silk XL;Pants;Silk;XL;Summer;0.3
PRD00124;Shirt Wool M;Shirt;Wool;M;Winter;0.24
PRD00125;Pants Cotton L;Pants;Cotton;L;Summer;0.54
PRD00126;Jacket Linen S;Jacket;Linen;S;Spring;0.93
PRD00127;T-Shirt Polyester L;T-Shirt;Polyester;L;Summer;0.14
PRD00128;T-Shirt Linen S;T-Shirt;Linen;S;Winter;0.12
PRD00129;Shirt Polyester M;Shirt;Polyester;M;Spring;0.18
PRD00130;Dress Wool L;Dress;Wool;L;Autumn;0.5
PRD00131;Jacket Denim M;Jacket;Denim;M;Autumn;1.19
PRD00132;Pants Cotton XS;Pants;Cotton;XS;Autumn;0.3
PRD00133;Shirt Polyester L;Shirt;Polyester;L;Winter;0.15
PRD00134;Pants Polyester M;Pants;Polyester;M;Summer;0.36
PRD00135;Shorts Cotton S;Shorts;Cotton;S;Spring;0.31
PRD00136;Pants Cotton S;Pants;Cotton;S;Autumn;0.34
PRD00137;Dress Cotton M;Dress;Cotton;M;Winter;0.51
PRD00138;Coat Polyester S;Coat;Polyester;S;Winter;1.25
PRD00139;Jacket Polyester L;Jacket;Polyester;L;Spring;0.65
PRD00140;Hoodie Polyester M;Hoodie;Polyester;M;Summer;0.69
PRD00141;Shorts Cotton L;Shorts;Cotton;L;Spring;0.33
PRD00142;Pants Polyester S;Pants;Polyester;S;Summer;0.36
PRD00143;Dress Silk M;Dress;Silk;M;Winter;0.34
PRD00144;Pants Cotton L;Pants;Cotton;L;Summer;0.46
PRD00145;Pants Polyester L;Pants;Polyester;L;Spring;0.31
PRD00146;Shirt Linen L;Shirt;Linen;L;Autumn;0.17
PRD00147;Skirt Linen XL;Skirt;Linen;XL;Summer;0.31
PRD00148;Dress Polyester S;Dress;Polyester;S;Winter;0.45
PRD00149;Shirt Silk M;Shirt;Silk;M;Spring;0.13
PRD00150;Pants Cotton L;Pants;Cotton;L;Summer;0.37
PRD00151;Blouse Silk S;Blouse;Silk;S;Winter;0.21
PRD00152;Pants Cotton S;Pants;Cotton;S;Winter;0.4
PRD00153;Shirt Cotton S;Shirt;Cotton;S;Autumn;0.2
PRD00154;Dress Cotton L;Dress;Cotton;L;Autumn;0.49
PRD00155;Hoodie Linen M;Hoodie;Linen;M;Winter;0.92
PRD00156;Pants Polyester S;Pants;Polyester;S;Autumn;0.39
PRD00157;Coat Cotton M;Coat;Cotton;M;Autumn;1.51
PRD00158;Sweater Cotton L;Sweater;Cotton;L;Winter;0.87
PRD00159;Pants Silk S;Pants;Silk;S;Summer;0.26
PRD00160;Sweater Linen M;Sweater;Linen;M;Autumn;0.61
PRD00161;Jacket Polyester L;Jacket;Polyester;L;Winter;0.68
PRD00162;Suit Polyester XL;Suit;Polyester;XL;Summer;0.73
PRD00163;Suit Polyester L;Suit;Polyester;L;Summer;0.85
PRD00164;Skirt Cotton L;Skirt;Cotton;L;Spring;0.28
PRD00165;Shirt Silk M;Shirt;Silk;M;Spring;0.12
PRD00166;T-Shirt Cotton M;T-Shirt;Cotton;M;Spring;0.12
PRD00167;Pants Polyester M;Pants;Polyester;M;Summer;0.31
PRD00168;Shirt Cotton L;Shirt;Cotton;L;Autumn;0.21
PRD00169;Shirt Polyester M;Shirt;Polyester;M;Summer;0.14
PRD00170;Skirt Polyester L;Skirt;Polyester;L;Spring;0.24
PRD00171;Coat Polyester XL;Coat;Polyester;XL;Summer;1.22
PRD00172;Shirt Cotton S;Shirt;Cotton;S;Winter;0.2
PRD00173;Dress Polyester XS;Dress;Polyester;XS;Spring;0.36
PRD00174;Pants Cotton S;Pants;Cotton;S;Winter;0.41
PRD00175;Suit Cotton M;Suit;Cotton;M;Spring;0.99
PRD00176;Shirt Cotton S;Shirt;Cotton;S;Summer;0.22
PRD00177;Coat Linen L;Coat;Linen;L;Autumn;1.18
PRD00178;Jacket Polyester XS;Jacket;Polyester;XS;Summer;0.65
PRD00179;Shorts Polyester M;Shorts;Polyester;M;Spring;0.21
PRD00180;Shirt Wool S;Shirt;Wool;S;Spring;0.23
PRD00181;Pants Wool XL;Pants;Wool;XL;Winter;0.43
PRD00182;Shirt Polyester L;Shirt;Polyester;L;Summer;0.15
PRD00183;Shorts Cotton XL;Shorts;Cotton;XL;Summer;0.3
PRD00184;Blouse Cotton XL;Blouse;Cotton;XL;Spring;0.24
PRD00185;Pants Polyester M;Pants;Polyester;M;Spring;0.37
PRD00186;Suit Polyester S;Suit;Polyester;S;Summer;0.89
PRD00187;T-Shirt Linen S;T-Shirt;Linen;S;Autumn;0.15
PRD00188;Skirt Silk S;Skirt;Silk;S;Summer;0.23
PRD00189;Dress Cotton L;Dress;Cotton;L;Winter;0.51
PRD00190;Pants Cotton XS;Pants;Cotton;XS;Autumn;0.45
PRD00191;Shirt Polyester S;Shirt;Polyester;S;Winter;0.16
PRD00192;Blouse Cotton L;Blouse;Cotton;L;Summer;0.3
PRD00193;Blouse Cotton L;Blouse;Cotton;L;Summer;0.23
PRD00194;Suit Silk L;Suit;Silk;L;Winter;0.62
PRD00195;Pants Cotton M;Pants;Cotton;M;Summer;0.34
PRD00196;Pants Silk L;Pants;Silk;L;Winter;0.25
PRD00197;Sweater Wool M;Sweater;Wool;M;Spring;0.7
PRD00198;Blouse Linen S;Blouse;Linen;S;Winter;0.23
PRD00199;Blouse Cotton L;Blouse;Cotton;L;Spring;0.27
PRD00200;T-Shirt Cotton XL;T-Shirt;Cotton;XL;Summer;0.15
PRD00201;Suit Polyester S;Suit;Polyester;S;Winter;0.69
PRD00202;Shirt Cotton M;Shirt;Cotton;M;Autumn;0.19
PRD00203;Shirt Cotton M;Shirt;Cotton;M;Spring;0.22
PRD00204;Blouse Cotton S;Blouse;Cotton;S;Summer;0.24
PRD00205;Skirt Cotton L;Skirt;Cotton;L;Spring;0.28
PRD00206;Shirt Cotton M;Shirt;Cotton;M;Winter;0.17
PRD00207;Shirt Linen L;Shirt;Linen;L;Summer;0.17
PRD00208;Suit Cotton L;Suit;Cotton;L;Spring;0.93
PRD00209;Shirt Cotton M;Shirt;Cotton;M;Winter;0.2
PRD00210;Shirt Polyester S;Shirt;Polyester;S;Summer;0.17
PRD00211;Skirt Denim S;Skirt;Denim;S;Summer;0.38
PRD00212;Coat Cotton XS;Coat;Cotton;XS;Autumn;1.53
PRD00213;Suit Cotton S;Suit;Cotton;S;Autumn;1.05
PRD00214;Pants Polyester M;Pants;Polyester;M;Autumn;0.28
PRD00215;Coat Silk L;Coat;Silk;L;Winter;1.25
PRD00216;Pants Linen M;Pants;Linen;M;Winter;0.33
PRD00217;Pants Polyester L;Pants;Polyester;L;Autumn;0.34
PRD00218;Sweater Cotton M;Sweater;Cotton;M;Summer;0.62
PRD00219;Suit Polyester L;Suit;Polyester;L;Summer;0.81
PRD00220;T-Shirt Cotton XL;T-Shirt;Cotton;XL;Summer;0.15
PRD00221;Suit Wool S;Suit;Wool;S;Winter;1.4
PRD00222;Skirt Wool L;Skirt;Wool;L;Summer;0.35
PRD00223;Shirt Denim L;Shirt;Denim;L;Summer;0.29
PRD00224;Jacket Cotton L;Jacket;Cotton;L;Autumn;0.82
PRD00225;Pants Cotton L;Pants;Cotton;L;Winter;0.47
PRD00226;Pants Polyester M;Pants;Polyester;M;Summer;0.26
PRD00227;Hoodie Wool S;Hoodie;Wool;S;Spring;1.13
PRD00228;Jacket Linen S;Jacket;Linen;S;Autumn;0.53
PRD00229;Blouse Cotton M;Blouse;Cotton;M;Spring;0.25
PRD00230;Suit Cotton XL;Suit;Cotton;XL;Winter;1.1
PRD00231;T-Shirt Polyester L;T-Shirt;Polyester;L;Winter;0.14
PRD00232;Dress Cotton M;Dress;Cotton;M;Winter;0.54
PRD00233;Skirt Silk L;Skirt;Silk;L;Winter;0.2
PRD00234;Dress Polyester L;Dress;Polyester;L;Summer;0.42
PRD00235;Shirt Linen M;Shirt;Linen;M;Autumn;0.23
PRD00236;Sweater Polyester XS;Sweater;Polyester;XS;Summer;0.56
PRD00237;Pants Linen S;Pants;Linen;S;Autumn;0.39
PRD00238;Shirt Cotton L;Shirt;Cotton;L;Summer;0.19
PRD00239;Suit Linen L;Suit;Linen;L;Summer;1.0
PRD00240;Shirt Cotton M;Shirt;Cotton;M;Spring;0.22
PRD00241;Shorts Polyester M;Shorts;Polyester;M;Summer;0.23
PRD00242;Shorts Cotton L;Shorts;Cotton;L;Summer;0.32
PRD00243;Blouse Polyester XL;Blouse;Polyester;XL;Summer;0.22
PRD00244;Jacket Cotton L;Jacket;Cotton;L;Autumn;0.86
PRD00245;Shirt Cotton L;Shirt;Cotton;L;Summer;0.2
PRD00246;Shorts Denim S;Shorts;Denim;S;Summer;0.44
PRD00247;Jacket Cotton M;Jacket;Cotton;M;Autumn;0.73
PRD00248;Shorts Linen S;Shorts;Linen;S;Spring;0.27
PRD00249;Shorts Denim L;Shorts;Denim;L;Winter;0.39
PRD00250;T-Shirt Cotton M;T-Shirt;Cotton;M;Summer;0.17
PRD00251;Pants Wool L;Pants;Wool;L;Autumn;0.43
PRD00252;Jacket Cotton M;Jacket;Cotton;M;Winter;0.82
PRD00253;T-Shirt Cotton L;T-Shirt;Cotton;L;Summer;0.14
PRD00254;Pants Polyester M;Pants;Polyester;M;Summer;0.32
PRD00255;Shirt Denim M;Shirt;Denim;M;Summer;0.27
PRD00256;Skirt Cotton L;Skirt;Cotton;L;Spring;0.26
PRD00257;Shorts Polyester S;Shorts;Polyester;S;Spring;0.27
PRD00258;Coat Polyester XL;Coat;Polyester;XL;Spring;1.25
PRD00259;Skirt Silk M;Skirt;Silk;M;Autumn;0.19
PRD00260;Shirt Cotton M;Shirt;Cotton;M;Autumn;0.19
PRD00261;Suit Wool L;Suit;Wool;L;Spring;1.38
PRD00262;Hoodie Wool L;Hoodie;Wool;L;Winter;1.12
PRD00263;Shirt Wool M;Shirt;Wool;M;Summer;0.22
PRD00264;Dress Denim XL;Dress;Denim;XL;Summer;0.6
PRD00265;Blouse Linen S;Blouse;Linen;S;Summer;0.24
PRD00266;Sweater Cotton S;Sweater;Cotton;S;Winter;0.75
PRD00267;Coat Polyester M;Coat;Polyester;M;Spring;1.24
PRD00268;Coat Cotton M;Coat;Cotton;M;Summer;1.46
PRD00269;Jacket Cotton M;Jacket;Cotton;M;Summer;0.86
PRD00270;Pants Polyester M;Pants;Polyester;M;Spring;0.31
PRD00271;T-Shirt Cotton M;T-Shirt;Cotton;M;Spring;0.14
PRD00272;T-Shirt Polyester L;T-Shirt;Polyester;L;Summer;0.14
PRD00273;T-Shirt Denim M;T-Shirt;Denim;M;Summer;0.2
PRD00274;Blouse Cotton XL;Blouse;Cotton;XL;Summer;0.23
PRD00275;Dress Silk L;Dress;Silk;L;Winter;0.35
PRD00276;Dress Polyester M;Dress;Polyester;M;Spring;0.4
PRD00277;T-Shirt Polyester M;T-Shirt;Polyester;M;Summer;0.12
PRD00278;Suit Linen M;Suit;Linen;M;Spring;0.92
PRD00279;Coat Cotton L;Coat;Cotton;L;Summer;1.36
PRD00280;T-Shirt Polyester XS;T-Shirt;Polyester;XS;Winter;0.13
PRD00281;Blouse Polyester S;Blouse;Polyester;S;Winter;0.2
PRD00282;Pants Cotton XL;Pants;Cotton;XL;Spring;0.34
PRD00283;Jacket Silk L;Jacket;Silk;L;Summer;0.55
PRD00284;Shirt Linen S;Shirt;Linen;S;Spring;0.17
PRD00285;Skirt Cotton S;Skirt;Cotton;S;Spring;0.21
PRD00286;Shirt Cotton L;Shirt;Cotton;L;Spring;0.2
PRD00287;Dress Polyester L;Dress;Polyester;L;Summer;0.44
PRD00288;Skirt Cotton M;Skirt;Cotton;M;Spring;0.3
PRD00289;Pants Polyester M;Pants;Polyester;M;Winter;0.34
PRD00290;Skirt Cotton L;Skirt;Cotton;L;Spring;0.3
PRD00291;Shirt Polyester L;Shirt;Polyester;L;Summer;0.15
PRD00292;Shirt Cotton L;Shirt;Cotton;L;Winter;0.19
PRD00293;T-Shirt Cotton M;T-Shirt;Cotton;M;Spring;0.13
PRD00294;Jacket Wool XL;Jacket;Wool;XL;Spring;1.05
PRD00295;Shirt Polyester M;Shirt;Polyester;M;Winter;0.17
PRD00296;Dress Denim S;Dress;Denim;S;Summer;0.63
PRD00297;Sweater Silk L;Sweater;Silk;L;Spring;0.39
PRD00298;Pants Cotton M;Pants;Cotton;M;Summer;0.42
PRD00299;Suit Cotton L;Suit;Cotton;L;Spring;0.91
PRD00300;Shirt Linen S;Shirt;Linen;S;Winter;0.18
PRD00301;Shirt Silk L;Shirt;Silk;L;Winter;0.12
PRD00302;Skirt Linen M;Skirt;Linen;M;Autumn;0.27
PRD00303;Skirt Cotton L;Skirt;Cotton;L;Winter;0.3
PRD00304;Suit Denim XS;Suit;Denim;XS;Spring;0.99
PRD00305;Sweater Cotton L;Sweater;Cotton;L;Winter;0.81
PRD00306;Hoodie Wool L;Hoodie;Wool;L;Autumn;1.04
PRD00307;Dress Silk M;Dress;Silk;M;Summer;0.34
PRD00308;Pants Cotton S;Pants;Cotton;S;Summer;0.42
PRD00309;T-Shirt Silk M;T-Shirt;Silk;M;Autumn;0.1
PRD00310;Pants Cotton L;Pants;Cotton;L;Winter;0.41
PRD00311;Jacket Denim M;Jacket;Denim;M;Summer;0.92
PRD00312;Shirt Cotton M;Shirt;Cotton;M;Autumn;0.2
PRD00313;Shirt Denim M;Shirt;Denim;M;Summer;0.21
PRD00314;Shorts Cotton XL;Shorts;Cotton;XL;Summer;0.29
PRD00315;T-Shirt Wool M;T-Shirt;Wool;M;Summer;0.21
PRD00316;Coat Polyester XS;Coat;Polyester;XS;Spring;1.02
PRD00317;Jacket Polyester L;Jacket;Polyester;L;Summer;0.62
PRD00318;Shirt Cotton L;Shirt;Cotton;L;Winter;0.16
PRD00319;Shirt Wool S;Shirt;Wool;S;Spring;0.24
PRD00320;Pants Cotton XL;Pants;Cotton;XL;Winter;0.42
PRD00321;Skirt Polyester L;Skirt;Polyester;L;Winter;0.25
PRD00322;Coat Cotton M;Coat;Cotton;M;Winter;1.41
PRD00323;Suit Denim M;Suit;Denim;M;Autumn;1.02
PRD00324;Pants Cotton L;Pants;Cotton;L;Winter;0.35
PRD00325;Shorts Cotton S;Shorts;Cotton;S;Winter;0.34
PRD00326;Sweater Cotton M;Sweater;Cotton;M;Autumn;0.76
PRD00327;Skirt Polyester S;Skirt;Polyester;S;Winter;0.24
PRD00328;Suit Cotton L;Suit;Cotton;L;Winter;1.02
PRD00329;Jacket Polyester M;Jacket;Polyester;M;Summer;0.57
PRD00330;Pants Silk L;Pants;Silk;L;Summer;0.32
PRD00331;Jacket Wool S;Jacket;Wool;S;Summer;0.89
PRD00332;Sweater Polyester L;Sweater;Polyester;L;Summer;0.58
PRD00333;Shirt Cotton L;Shirt;Cotton;L;Spring;0.17
PRD00334;Shirt Wool M;Shirt;Wool;M;Winter;0.24
PRD00335;Shirt Cotton L;Shirt;Cotton;L;Spring;0.22
PRD00336;Shirt Linen M;Shirt;Linen;M;Autumn;0.16
PRD00337;T-Shirt Cotton L;T-Shirt;Cotton;L;Summer;0.16
PRD00338;Coat Polyester XS;Coat;Polyester;XS;Winter;1.07
PRD00339;Dress Cotton M;Dress;Cotton;M;Spring;0.45
PRD00340;Shirt Silk XL;Shirt;Silk;XL;Winter;0.14
PRD00341;Dress Cotton XL;Dress;Cotton;XL;Winter;0.55
PRD00342;Dress Polyester M;Dress;Polyester;M;Autumn;0.39
PRD00343;Shirt Cotton M;Shirt;Cotton;M;Spring;0.21
PRD00344;Jacket Wool S;Jacket;Wool;S;Winter;1.07
PRD00345;Jacket Silk L;Jacket;Silk;L;Summer;0.52
PRD00346;Suit Polyester M;Suit;Polyester;M;Spring;0.68
PRD00347;Suit Polyester M;Suit;Polyester;M;Autumn;0.77
PRD00348;Shirt Silk S;Shirt;Silk;S;Spring;0.16
PRD00349;Jacket Polyester XL;Jacket;Polyester;XL;Winter;0.59
PRD00350;Suit Polyester M;Suit;Polyester;M;Summer;0.88
PRD00351;Dress Polyester M;Dress;Polyester;M;Spring;0.39
PRD00352;T-Shirt Wool M;T-Shirt;Wool;M;Summer;0.21
PRD00353;Suit Cotton M;Suit;Cotton;M;Summer;1.22
PRD00354;Shirt Linen L;Shirt;Linen;L;Winter;0.2
PRD00355;Shirt Polyester XL;Shirt;Polyester;XL;Autumn;0.13
PRD00356;Suit Cotton L;Suit;Cotton;L;Winter;0.76
PRD00357;Shirt Linen M;Shirt;Linen;M;Summer;0.18
PRD00358;Skirt Cotton L;Skirt;Cotton;L;Autumn;0.33
PRD00359;Shorts Cotton M;Shorts;Cotton;M;Spring;0.32
PRD00360;Skirt Polyester M;Skirt;Polyester;M;Autumn;0.22
PRD00361;Jacket Silk XL;Jacket;Silk;XL;Winter;0.48
PRD00362;Suit Silk M;Suit;Silk;M;Summer;0.77
PRD00363;Dress Denim M;Dress;Denim;M;Autumn;0.77
PRD00364;Skirt Silk XL;Skirt;Silk;XL;Summer;0.2
PRD00365;Shorts Cotton S;Shorts;Cotton;S;Winter;0.32
PRD00366;Jacket Cotton L;Jacket;Cotton;L;Spring;1.01
PRD00367;Shorts Linen XL;Shorts;Linen;XL;Spring;0.26
PRD00368;Blouse Cotton M;Blouse;Cotton;M;Spring;0.25
PRD00369;Shirt Polyester XS;Shirt;Polyester;XS;Winter;0.17
PRD00370;Shirt Polyester M;Shirt;Polyester;M;Summer;0.16
PRD00371;Shirt Cotton S;Shirt;Cotton;S;Spring;0.23
PRD00372;Shirt Silk M;Shirt;Silk;M;Spring;0.13
PRD00373;Shirt Polyester L;Shirt;Polyester;L;Winter;0.16
PRD00374;Coat Polyester M;Coat;Polyester;M;Summer;1.03
PRD00375;Shirt Denim M;Shirt;Denim;M;Summer;0.25
PRD00376;Pants Polyester M;Pants;Polyester;M;Winter;0.29
PRD00377;T-Shirt Cotton M;T-Shirt;Cotton;M;Summer;0.16
PRD00378;Shirt Polyester L;Shirt;Polyester;L;Summer;0.13
PRD00379;T-Shirt Linen M;T-Shirt;Linen;M;Autumn;0.15
PRD00380;Pants Linen L;Pants;Linen;L;Autumn;0.33
PRD00381;Shirt Linen M;Shirt;Linen;M;Autumn;0.21
PRD00382;Coat Wool M;Coat;Wool;M;Summer;2.05
PRD00383;Suit Cotton M;Suit;Cotton;M;Winter;1.05
PRD00384;Blouse Silk M;Blouse;Silk;M;Summer;0.15
PRD00385;Sweater Silk L;Sweater;Silk;L;Autumn;0.46
PRD00386;T-Shirt Cotton S;T-Shirt;Cotton;S;Summer;0.14
PRD00387;Pants Cotton XL;Pants;Cotton;XL;Spring;0.37
PRD00388;Shirt Denim M;Shirt;Denim;M;Winter;0.3
PRD00389;Sweater Silk XL;Sweater;Silk;XL;Summer;0.48
PRD00390;T-Shirt Silk XS;T-Shirt;Silk;XS;Winter;0.1
PRD00391;Hoodie Silk M;Hoodie;Silk;M;Summer;0.58
PRD00392;Jacket Polyester XS;Jacket;Polyester;XS;Summer;0.61
PRD00393;Jacket Polyester M;Jacket;Polyester;M;Summer;0.67
