ProductReference;SupplierName;DateOfIncident;IssueDescription;ResolutionStatus;CostImpact (€)
PRD00685;SupplierD;2023-11-10;Other;Not Resolved;269.0
PRD00142;SupplierD;2023-09-29;Other;Not Resolved;191.0
PRD07614;SupplierD;2023-02-16;Packaging Damage;Resolved;1459.0
PRD05489;SupplierH;2023-08-07;Other;Resolved;92.0
PRD07600;SupplierD;2023-11-12;Other;Resolved;191.0
PRD00265;SupplierC;2024-06-02;Labeling Error;Resolved;381.0
PRD06564;SupplierB;2023-05-18;Other;Resolved;195.0
;SupplierC;2023-10-08;Other;Resolved;384.0
PRD09681;SupplierF;2023-09-02;Missing Items;Resolved;1122.0
PRD00817;SupplierF;2023-10-10;Incorrect Folding;In Progress;590.0
PRD09386;SupplierD;2023-05-29;Product Wrinkled;Resolved;583.75
PRD00779;SupplierD;2023-12-27;Other;Resolved;357.0
PRD01676;SupplierD;2023-02-01;Other;Resolved;289.0
PRD03732;SupplierA;2023-08-05;Other;Resolved;332.0
PRD09762;SupplierD;2024-04-03;Other;Resolved;87.0
PRD08456;SupplierH;2023-07-30;Labeling Error;Resolved;268.0
PRD01911;SupplierD;2023-07-31;Other;Resolved;135.0
PRD04685;SupplierD;2024-01-02;Labeling Error;Resolved;157.0
PRD07548;SupplierH;2023-10-02;Other;Resolved;127.0
PRD00554;SupplierC;2023-06-27;Other;Resolved;155.0
PRD06940;SupplierA;2023-03-25;Missing Items;Resolved;1138.0
PRD09309;SupplierF;2024-05-02;Incorrect Folding;Resolved;740.0
PRD04432;SupplierD;2024-01-12;Incorrect Folding;Resolved;481.25
PRD04031;SupplierF;2023-06-18;Packaging Damage;Resolved;1694.0
PRD01285;SupplierC;2024-04-22;Incorrect Folding;Resolved;745.0
PRD08133;SupplierH;2023-04-13;Other;Not Resolved;239.0
PRD08157;SupplierB;2023-01-26;Packaging Damage;Resolved;1001.25
PRD06960;SupplierF;2024-06-20;Incorrect Folding;Not Resolved;348.75
PRD00033;SupplierF;2024-02-10;Incorrect Folding;In Progress;335.0
PRD09289;SupplierF;2023-04-07;Incorrect Folding;Resolved;168.75
PRD09544;SupplierE;2024-01-31;Other;Resolved;248.0
PRD02967;SupplierC;2023-10-13;Other;Not Resolved;119.0
;SupplierB;2024-02-11;Other;Resolved;398.0
PRD09439;SupplierH;2024-04-15;Incorrect Folding;Resolved;676.25
PRD07312;SupplierF;2023-10-21;Other;Resolved;231.0
PRD08783;SupplierC;2023-08-23;Other;Resolved;347.0
PRD04680;SupplierD;2024-03-14;Packaging Damage;Resolved;758.75
PRD03564;SupplierD;2023-02-27;Other;In Progress;197.0
PRD01974;SupplierC;2023-04-05;Missing Items;Not Resolved;351.0
PRD00910;SupplierC;2024-04-07;Other;Resolved;230.0
PRD06100;SupplierC;2024-03-15;Incorrect Folding;Not Resolved;695.0
PRD03874;SupplierH;2023-11-11;Incorrect Folding;Resolved;343.75
PRD09738;SupplierF;2024-04-22;Incorrect Folding;Resolved;322.5
PRD03485;SupplierC;2023-12-21;Other;Not Resolved;326.0
PRD08684;SupplierC;2024-01-06;Other;Resolved;193.0
PRD02861;SupplierC;2023-05-23;Labeling Error;In Progress;210.0
PRD04656;SupplierE;2023-11-11;Labeling Error;Resolved;276.0
PRD08097;SupplierB;2024-02-08;Labeling Error;Resolved;335.0
PRD02597;SupplierB;2024-06-10;Incorrect Folding;Resolved;300.0
PRD03732;SupplierA;2024-02-04;Other;Resolved;177.0
PRD04790;SupplierA;2023-10-06;Incorrect Folding;Resolved;240.0
PRD03047;SupplierD;2024-01-09;Other;In Progress;383.0
PRD06208;SupplierA;2024-06-20;Missing Items;Resolved;1022.0
PRD07517;SupplierD;2024-04-05;Incorrect Folding;Resolved;266.25
PRD09593;SupplierE;2024-05-10;Packaging Damage;In Progress;802.0
PRD05013;SupplierF;2024-07-01;Other;In Progress;133.0
PRD06939;SupplierE;2023-07-02;Incorrect Folding;Resolved;137.5
PRD07581;SupplierB;2023-06-22;Packaging Damage;Resolved;649.0
PRD00701;SupplierB;2024-04-18;Other;Not Resolved;299.0
PRD04377;SupplierF;2023-02-17;Transportation Damage;Resolved;1192.0
PRD06997;SupplierC;2023-04-18;Packaging Damage;In Progress;724.0
PRD00233;SupplierG;2023-01-30;Incorrect Folding;In Progress;176.25
PRD08337;SupplierE;2023-02-03;Other;Resolved;334.0
PRD06244;SupplierC;2023-02-11;Other;Resolved;79.0
PRD02036;SupplierD;2023-07-21;Other;Resolved;173.0
PRD02312;SupplierA;2023-03-08;Incorrect Folding;Resolved;561.25
PRD05199;SupplierC;2024-03-10;Other;Resolved;258.0
PRD04077;SupplierA;2024-03-15;Other;In Progress;220.0
PRD01087;SupplierC;2023-10-08;Incorrect Folding;Resolved;571.25
PRD00557;SupplierD;2023-04-28;Missing Items;Resolved;721.0
PRD07070;SupplierB;2023-02-18;Incorrect Folding;Resolved;691.25
PRD04679;SupplierF;2023-01-19;Packaging Damage;Resolved;878.0
PRD06505;SupplierC;2023-01-11;Labeling Error;Resolved;168.0
PRD08372;SupplierA;2023-04-16;Packaging Damage;In Progress;2386.25
PRD03440;SupplierC;2023-09-19;Other;Resolved;253.0
PRD08980;SupplierF;2023-06-09;Other;Resolved;269.0
PRD04800;SupplierA;2023-10-19;Packaging Damage;Resolved;1166.25
PRD04512;SupplierB;2023-11-08;Other;Resolved;82.0
PRD05685;SupplierA;2024-01-07;Labeling Error;Resolved;371.0
PRD03235;SupplierE;2023-08-13;Packaging Damage;Not Resolved;985.0
PRD06823;SupplierF;2023-01-26;Packaging Damage;Not Resolved;670.0
PRD09274;SupplierD;2023-12-01;Other;Resolved;87.0
PRD01794;SupplierB;2024-03-18;Packaging Damage;Not Resolved;604.0
PRD01367;SupplierC;2024-02-05;Packaging Damage;Resolved;723.0
PRD00041;SupplierB;2023-03-02;Incorrect Folding;Resolved;337.5
PRD09387;SupplierB;2023-04-15;Labeling Error;Resolved;344.0
PRD05754;SupplierD;2023-11-19;Labeling Error;In Progress;372.0
PRD00830;SupplierC;2023-03-19;Other;Resolved;268.0
PRD02006;SupplierB;2023-11-29;Incorrect Folding;In Progress;221.25
PRD03582;SupplierA;2024-03-24;Labeling Error;In Progress;327.0
PRD03435;SupplierA;2023-02-10;Packaging Damage;Resolved;852.0
PRD09527;SupplierE;2023-07-26;Labeling Error;Resolved;139.0
PRD04614;SupplierC;2024-04-13;Incorrect Folding;Resolved;470.0
PRD05455;SupplierE;2023-01-14;Packaging Damage;Resolved;942.0
PRD04397;SupplierA;2023-12-31;Incorrect Folding;Resolved;545.0
PRD06916;SupplierB;2023-07-28;Labeling Error;Resolved;455.0
PRD09560;SupplierB;2023-08-28;Other;In Progress;383.0
PRD02441;SupplierB;2024-03-09;Other;Resolved;287.0
PRD02667;SupplierB;2024-02-20;Labeling Error;In Progress;122.0
PRD00320;SupplierC;2023-01-07;Missing Items;Resolved;357.0
PRD07562;SupplierB;2024-05-30;Packaging Damage;Resolved;1086.0
PRD09720;SupplierB;2023-04-29;Packaging Damage;Resolved;1632.0
PRD08591;SupplierD;2024-01-07;Labeling Error;Resolved;387.0
PRD00276;SupplierF;2023-03-13;Other;Resolved;73.0
PRD05367;SupplierA;2024-06-29;Incorrect Folding;Resolved;242.5
PRD09683;SupplierD;2023-02-05;Other;Resolved;239.0
PRD00267;SupplierD;2024-03-26;Packaging Damage;Resolved;1706.0
PRD06980;SupplierD;2023-11-21;Incorrect Folding;Resolved;207.5
PRD03242;SupplierD;2023-12-19;Other;Not Resolved;121.0
PRD04192;SupplierB;2024-05-30;Labeling Error;Resolved;137.0
PRD06076;SupplierF;2023-04-26;Labeling Error;In Progress;275.0
PRD09910;SupplierC;2024-06-09;Labeling Error;Resolved;137.0
PRD01283;SupplierC;2024-02-15;Missing Items;Resolved;519.0
PRD08974;SupplierH;2024-06-17;Incorrect Folding;Resolved;660.0
PRD07279;SupplierB;2023-01-18;Other;Resolved;305.0
PRD09310;SupplierC;2023-03-31;Packaging Damage;Resolved;1712.0
PRD02762;SupplierH;2023-03-22;Labeling Error;In Progress;133.0
PRD00242;SupplierB;2023-02-01;Other;In Progress;57.0
PRD08987;SupplierB;2023-08-23;Incorrect Folding;Resolved;312.5
PRD00583;SupplierC;2024-03-15;Other;Resolved;345.0
PRD05891;SupplierE;2024-03-03;Packaging Damage;Resolved;1837.0
PRD04340;SupplierC;2023-12-25;Missing Items;In Progress;586.0
PRD09265;SupplierB;2023-07-29;Incorrect Folding;Resolved;711.25
PRD04330;SupplierD;2024-03-27;Labeling Error;Resolved;242.0
PRD03403;SupplierH;2024-01-30;Transportation Damage;Resolved;902.0
PRD04936;SupplierC;2023-04-11;Packaging Damage;Resolved;1857.0
PRD09815;SupplierF;2024-03-31;Missing Items;Resolved;397.0
PRD05927;SupplierF;2024-04-28;Labeling Error;Not Resolved;221.0
PRD09438;SupplierC;2023-02-02;Other;Resolved;180.0
PRD06318;SupplierC;2024-03-15;Incorrect Folding;Resolved;590.0
PRD02284;SupplierA;2023-10-31;Labeling Error;Resolved;468.0
PRD02366;SupplierB;2024-06-05;Labeling Error;Resolved;140.0
PRD03550;SupplierF;2024-01-28;Other;Resolved;175.0
PRD00981;SupplierB;2024-04-01;Incorrect Folding;Resolved;176.25
PRD06102;SupplierF;2023-08-02;Packaging Damage;In Progress;1106.0
PRD03691;SupplierE;2024-03-14;Labeling Error;Resolved;152.0
PRD01757;SupplierG;2023-06-17;Missing Items;Resolved;1431.0
PRD00561;SupplierF;2023-12-08;Packaging Damage;Not Resolved;1735.0
PRD01736;SupplierA;2023-09-07;Incorrect Folding;Resolved;511.25
PRD06674;SupplierA;2024-04-10;Incorrect Folding;Resolved;657.5
PRD06892;SupplierB;2024-04-13;Labeling Error;In Progress;109.0
PRD07718;SupplierH;2023-08-30;Missing Items;Resolved;1372.0
PRD01917;SupplierD;2023-02-17;Incorrect Folding;In Progress;206.25
PRD08564;SupplierF;2023-12-06;Labeling Error;Resolved;380.0
PRD09747;SupplierF;2023-06-25;Incorrect Folding;Resolved;586.25
PRD07075;SupplierC;2023-11-04;Other;Resolved;159.0
PRD00729;SupplierB;2024-03-07;Missing Items;In Progress;1488.0
PRD01187;SupplierD;2023-10-14;Packaging Damage;Resolved;1832.0
PRD00791;SupplierB;2023-03-20;Labeling Error;Resolved;202.0
PRD02398;SupplierF;2023-05-20;Labeling Error;Resolved;255.0
PRD06404;SupplierC;2023-05-24;Labeling Error;Resolved;439.0
PRD01205;SupplierC;2023-09-19;Incorrect Folding;Resolved;215.0
PRD05135;SupplierD;2023-11-25;Missing Items;In Progress;1159.0
PRD02866;SupplierC;2023-09-06;Missing Items;Resolved;1012.0
PRD07504;SupplierB;2023-09-26;Labeling Error;Resolved;138.0
PRD07699;SupplierD;2023-05-29;Other;Not Resolved;353.0
PRD04851;SupplierF;2023-04-09;Transportation Damage;Resolved;421.0
PRD05486;SupplierC;2024-02-28;Other;Resolved;251.0
PRD06601;SupplierD;2023-10-31;Other;In Progress;125.0
PRD04591;SupplierE;2023-08-19;Incorrect Folding;Resolved;507.5
;SupplierF;2024-02-15;Packaging Damage;Resolved;1604.0
PRD08291;SupplierF;2023-02-12;Incorrect Folding;Resolved;737.5
PRD06782;SupplierB;2024-04-13;Other;Resolved;361.0
PRD07499;SupplierE;2024-05-20;Other;Resolved;156.0
PRD03441;SupplierF;2023-09-19;Other;In Progress;347.0
PRD02419;SupplierE;2023-03-24;Labeling Error;Resolved;312.0
PRD04531;SupplierE;2023-08-21;Missing Items;Resolved;1198.0
;SupplierF;2023-10-12;Other;Resolved;238.0
PRD02893;SupplierF;2024-03-04;Labeling Error;Resolved;432.0
PRD02119;SupplierC;2023-04-02;Labeling Error;In Progress;287.0
PRD07400;SupplierC;2023-09-28;Other;In Progress;389.0
PRD04865;SupplierD;2023-02-16;Incorrect Folding;Resolved;471.25
PRD04617;SupplierF;2023-10-21;Labeling Error;In Progress;351.0
PRD00637;SupplierD;2023-07-19;Missing Items;Resolved;511.0
PRD04983;SupplierB;2023-10-28;Packaging Damage;Resolved;1249.0
PRD03416;SupplierB;2024-05-26;Missing Items;Resolved;615.0
PRD09326;SupplierD;2023-05-03;Other;In Progress;62.0
PRD05741;SupplierG;2024-03-17;Labeling Error;Resolved;410.0
PRD00091;SupplierD;2023-09-11;Labeling Error;Resolved;199.0
PRD04324;SupplierB;2023-03-20;Other;Resolved;164.0
PRD00825;SupplierD;2024-04-19;Incorrect Folding;Resolved;615.0
PRD08574;SupplierA;2024-02-04;Incorrect Folding;Resolved;563.75
PRD09022;SupplierF;2023-08-23;Incorrect Folding;Resolved;183.75
PRD07551;SupplierF;2024-01-14;Other;Resolved;297.0
PRD05724;SupplierA;2023-01-10;Labeling Error;Resolved;300.0
PRD03635;SupplierB;2023-12-20;Incorrect Folding;Not Resolved;736.25
PRD05109;SupplierC;2024-05-03;Other;Not Resolved;358.0
PRD07608;SupplierD;2023-12-28;Packaging Damage;Resolved;1224.0
PRD06537;SupplierF;2023-11-18;Packaging Damage;Resolved;1163.0
PRD00354;SupplierD;2023-11-27;Labeling Error;Resolved;238.0
PRD03636;SupplierF;2024-01-03;Missing Items;Resolved;354.0
PRD09041;SupplierE;2023-06-24;Incorrect Folding;Resolved;168.75
PRD01172;SupplierC;2023-12-11;Packaging Damage;In Progress;2297.5
PRD03808;SupplierB;2023-10-07;Other;Resolved;169.0
PRD01946;SupplierH;2023-08-22;Other;In Progress;208.0
PRD00333;SupplierC;2023-02-15;Labeling Error;In Progress;414.0
PRD02693;SupplierD;2023-04-11;Labeling Error;Resolved;395.0
PRD08212;SupplierD;2024-01-09;Other;Resolved;144.0
PRD09200;SupplierD;2023-11-07;Other;Not Resolved;181.0
PRD06243;SupplierD;2023-07-20;Other;Resolved;70.0
PRD00998;SupplierE;2024-01-21;Incorrect Folding;Resolved;533.75
PRD02032;SupplierC;2024-04-11;Other;Resolved;137.0
PRD09330;SupplierC;2023-12-07;Labeling Error;In Progress;294.0
PRD07801;SupplierC;2023-04-22;Labeling Error;Resolved;224.0
PRD01227;SupplierC;2023-10-02;Packaging Damage;Resolved;1426.25
PRD04783;SupplierE;2024-02-24;Incorrect Folding;Resolved;156.25
;SupplierB;2024-02-22;Packaging Damage;Resolved;1417.0
PRD05837;SupplierD;2023-09-01;Incorrect Folding;In Progress;672.5
PRD06971;SupplierD;2023-09-30;Labeling Error;Resolved;210.0
PRD08633;SupplierB;2024-01-26;Incorrect Folding;Resolved;482.5
PRD07925;SupplierC;2023-12-22;Other;Resolved;129.0
PRD03062;SupplierF;2024-02-03;Labeling Error;Resolved;457.0
PRD09414;SupplierB;2023-07-06;Labeling Error;Resolved;356.0
PRD00623;SupplierF;2023-03-19;Packaging Damage;Resolved;1544.0
PRD05202;SupplierB;2023-03-30;Packaging Damage;Resolved;1708.0
PRD05102;SupplierC;2023-04-09;Other;Resolved;240.0
PRD05277;SupplierE;2023-08-16;Labeling Error;Resolved;218.0
PRD08334;SupplierB;2023-11-16;Other;Resolved;311.0
PRD03006;SupplierH;2023-02-12;Incorrect Folding;Resolved;747.5
PRD05260;SupplierE;2023-01-24;Labeling Error;Resolved;148.0
PRD02162;SupplierF;2023-03-05;Transportation Damage;Resolved;1391.0
PRD04884;SupplierD;2024-06-06;Labeling Error;Resolved;185.0
PRD09345;SupplierB;2023-11-08;Labeling Error;Resolved;271.0
PRD00051;SupplierD;2023-06-17;Other;Resolved;274.0
PRD02064;SupplierC;2023-03-04;Missing Items;Resolved;357.0
PRD02955;SupplierE;2023-01-14;Missing Items;Resolved;917.0
PRD02504;SupplierG;2024-05-09;Incorrect Folding;Resolved;685.0
PRD04864;SupplierD;2024-01-25;Incorrect Folding;In Progress;142.5
PRD05231;SupplierB;2024-04-14;Packaging Damage;Resolved;1867.0
PRD07880;SupplierE;2023-02-28;Labeling Error;Not Resolved;372.0
PRD00386;SupplierE;2023-09-12;Labeling Error;Resolved;142.0
;SupplierF;2023-04-23;Missing Items;Resolved;391.0
PRD06805;SupplierC;2023-04-20;Incorrect Folding;Resolved;201.25
PRD06870;SupplierF;2024-03-24;Incorrect Folding;Resolved;532.5
PRD05578;SupplierE;2023-03-18;Packaging Damage;Resolved;717.5
PRD05211;SupplierA;2024-06-24;Incorrect Folding;Resolved;615.0
PRD05716;SupplierF;2024-03-15;Incorrect Folding;Not Resolved;628.75
PRD02137;SupplierE;2023-02-06;Labeling Error;Resolved;334.0
PRD05072;SupplierE;2023-09-26;Packaging Damage;Resolved;1248.0
PRD06095;SupplierC;2023-10-10;Incorrect Folding;Not Resolved;187.5
PRD09688;SupplierH;2023-04-20;Missing Items;In Progress;1267.0
PRD02946;SupplierD;2024-03-06;Labeling Error;Resolved;456.0
PRD06444;SupplierB;2023-10-13;Incorrect Folding;Resolved;713.75
PRD07794;SupplierD;2024-01-18;Packaging Damage;Resolved;2453.75
PRD07743;SupplierD;2023-02-22;Incorrect Folding;Resolved;245.0
PRD06521;SupplierA;2024-06-22;Other;Resolved;103.0
PRD00952;SupplierH;2024-03-06;Packaging Damage;Resolved;1347.0
PRD02346;SupplierC;2023-01-26;Other;Not Resolved;241.0
PRD07478;SupplierC;2024-02-08;Incorrect Folding;Resolved;443.75
PRD07582;SupplierA;2023-07-12;Packaging Damage;Resolved;937.0
PRD01266;SupplierD;2024-06-06;Incorrect Folding;Resolved;513.75
PRD03950;SupplierA;2023-11-28;Incorrect Folding;Resolved;306.25
PRD03711;SupplierC;2023-12-03;Labeling Error;Not Resolved;375.0
PRD02553;SupplierH;2024-03-04;Labeling Error;Resolved;201.0
PRD08623;SupplierD;2024-01-20;Other;Resolved;96.0
PRD00099;SupplierF;2023-01-10;Labeling Error;Resolved;344.0
PRD03082;SupplierG;2023-02-18;Labeling Error;Resolved;109.0
PRD09318;SupplierE;2023-01-22;Other;Resolved;125.0
PRD04637;SupplierF;2023-05-08;Other;Resolved;364.0
PRD05452;SupplierA;2023-04-24;Other;Resolved;277.0
PRD03989;SupplierE;2023-10-28;Missing Items;Resolved;718.0
PRD00393;SupplierA;2024-07-02;Other;Resolved;83.0
PRD05913;SupplierC;2024-06-16;Packaging Damage;Not Resolved;1761.0
PRD05805;SupplierC;2024-04-13;Packaging Damage;In Progress;1841.0
PRD05121;SupplierD;2023-09-18;Missing Items;Resolved;790.0
PRD01292;SupplierF;2024-04-05;Labeling Error;Not Resolved;174.0
PRD09353;SupplierC;2023-03-13;Labeling Error;Resolved;392.0
PRD04098;SupplierE;2023-07-13;Labeling Error;Resolved;302.0
PRD05698;SupplierB;2023-10-22;Incorrect Folding;In Progress;252.5
PRD04783;SupplierC;2023-02-19;Incorrect Folding;Resolved;666.25
PRD01119;SupplierD;2023-03-04;Other;Resolved;153.0
PRD06542;SupplierF;2023-09-05;Labeling Error;Resolved;268.0
PRD03843;SupplierE;2024-02-22;Other;Resolved;386.0
PRD09533;SupplierC;2023-12-19;Other;In Progress;55.0
PRD05502;SupplierD;2024-02-26;Incorrect Folding;Not Resolved;316.25
PRD09723;SupplierD;2023-06-30;Other;Resolved;171.0
PRD02419;SupplierD;2024-03-07;Labeling Error;Resolved;420.0
PRD00197;SupplierC;2023-04-25;Product Wrinkled;In Progress;593.75
PRD05850;SupplierF;2023-03-25;Other;Resolved;264.0
PRD06161;SupplierD;2023-10-06;Labeling Error;Resolved;384.0
PRD01830;SupplierB;2023-02-16;Missing Items;Resolved;663.0
PRD07449;SupplierE;2023-12-21;Packaging Damage;In Progress;1420.0
PRD04730;SupplierC;2024-06-04;Labeling Error;Resolved;200.0
PRD09116;SupplierC;2024-01-25;Missing Items;Resolved;1213.0
PRD00946;SupplierF;2023-09-06;Incorrect Folding;Resolved;147.5
PRD06230;SupplierF;2023-02-28;Packaging Damage;Resolved;548.0
PRD03607;SupplierD;2023-11-01;Labeling Error;Resolved;396.0
PRD09072;SupplierD;2024-05-26;Missing Items;Resolved;1185.0
PRD01266;SupplierB;2024-02-25;Incorrect Folding;Resolved;322.5
PRD03709;SupplierC;2024-03-04;Other;In Progress;231.0
PRD02110;SupplierC;2024-05-25;Packaging Damage;Resolved;1851.0
PRD04138;SupplierF;2024-05-07;Missing Items;Resolved;331.0
PRD04271;SupplierC;2023-03-16;Other;Resolved;384.0
PRD00412;SupplierE;2023-04-23;Other;Resolved;212.0
PRD08065;SupplierE;2023-07-15;Other;In Progress;209.0
PRD06000;SupplierB;2023-02-11;Incorrect Folding;Resolved;206.25
PRD04037;SupplierF;2023-12-17;Packaging Damage;Resolved;1630.0
PRD05707;SupplierG;2023-11-28;Labeling Error;Resolved;112.0
PRD05460;SupplierD;2023-06-25;Other;Resolved;136.0
PRD02333;SupplierC;2023-09-03;Incorrect Folding;Resolved;313.75
PRD04997;SupplierB;2023-11-11;Labeling Error;Resolved;150.0
PRD06038;SupplierF;2024-01-22;Labeling Error;Resolved;105.0
PRD01727;SupplierH;2023-01-29;Other;Resolved;269.0
PRD06782;SupplierF;2024-02-24;Other;Resolved;256.0
PRD08718;SupplierF;2023-09-01;Packaging Damage;Resolved;526.0
PRD07294;SupplierD;2023-06-02;Incorrect Folding;Resolved;605.0
PRD04245;SupplierC;2023-05-03;Other;In Progress;368.0
;SupplierA;2023-07-09;Packaging Damage;Resolved;985.0
PRD00632;SupplierA;2023-11-14;Incorrect Folding;Resolved;338.75
PRD04100;SupplierF;2024-02-16;Incorrect Folding;Resolved;580.0
PRD09914;SupplierC;2024-03-24;Other;Not Resolved;221.0
PRD05179;SupplierD;2023-02-08;Other;Resolved;374.0
PRD02145;SupplierC;2024-01-24;Other;In Progress;197.0
PRD08458;SupplierC;2023-01-20;Packaging Damage;Resolved;1520.0
PRD09008;SupplierC;2023-10-05;Incorrect Folding;In Progress;363.75
PRD03530;SupplierF;2023-08-26;Transportation Damage;Resolved;422.0
PRD01821;SupplierA;2023-01-17;Incorrect Folding;Resolved;651.25
PRD09760;SupplierB;2023-11-11;Other;In Progress;66.0
PRD06496;SupplierD;2023-07-12;Labeling Error;Resolved;461.0
PRD07478;SupplierD;2023-11-04;Incorrect Folding;Resolved;543.75
PRD06060;SupplierC;2023-07-17;Labeling Error;Resolved;120.0
PRD09083;SupplierF;2024-03-15;Other;Resolved;338.0
PRD03320;SupplierF;2024-02-17;Labeling Error;Resolved;363.0
PRD08704;SupplierD;2024-03-16;Incorrect Folding;Resolved;583.75
PRD05612;SupplierA;2023-12-22;Packaging Damage;Resolved;1036.25
PRD06477;SupplierF;2023-01-23;Other;Resolved;311.0
PRD07885;SupplierA;2024-03-02;Labeling Error;Resolved;254.0
PRD04952;SupplierH;2023-11-06;Labeling Error;Resolved;216.0
PRD08228;SupplierB;2023-10-16;Labeling Error;In Progress;144.0
PRD03453;SupplierC;2023-06-27;Packaging Damage;In Progress;2466.25
PRD01560;SupplierD;2024-06-02;Labeling Error;Resolved;477.0
;SupplierC;2023-03-22;Other;Resolved;289.0
PRD06150;SupplierE;2023-03-20;Incorrect Folding;Resolved;435.0
PRD01698;SupplierD;2023-08-08;Incorrect Folding;Resolved;338.75
PRD02425;SupplierF;2024-04-15;Incorrect Folding;Resolved;176.25
PRD04795;SupplierE;2023-04-22;Other;In Progress;384.0
PRD03598;SupplierA;2024-03-05;Other;Resolved;144.0
PRD06875;SupplierB;2023-05-20;Labeling Error;In Progress;162.0
PRD07165;SupplierA;2024-05-21;Incorrect Folding;Resolved;663.75
PRD00702;SupplierD;2023-08-13;Labeling Error;Resolved;475.0
PRD06105;SupplierF;2023-12-12;Other;In Progress;317.0
PRD00477;SupplierA;2024-01-11;Labeling Error;Resolved;219.0
PRD00850;SupplierE;2024-01-05;Other;In Progress;146.0
PRD00922;SupplierH;2023-07-25;Missing Items;Resolved;1355.0
PRD07003;SupplierC;2023-11-20;Incorrect Folding;In Progress;355.0
PRD02609;SupplierA;2023-07-27;Packaging Damage;Not Resolved;1245.0
PRD08702;SupplierD;2024-01-12;Labeling Error;In Progress;266.0
PRD09998;SupplierC;2023-12-27;Other;Resolved;279.0
PRD01448;SupplierA;2023-05-19;Labeling Error;Resolved;221.0
PRD03261;SupplierD;2023-10-31;Incorrect Folding;Resolved;155.0
PRD08849;SupplierF;2023-11-20;Packaging Damage;Resolved;1140.0
PRD04816;SupplierA;2024-02-03;Other;Resolved;225.0
PRD03459;SupplierB;2023-04-22;Packaging Damage;In Progress;1003.0
PRD08522;SupplierE;2023-02-25;Packaging Damage;Resolved;1582.0
PRD05420;SupplierA;2024-06-08;Other;Not Resolved;275.0
PRD02004;SupplierF;2023-10-30;Other;Resolved;349.0
PRD06127;SupplierC;2024-07-01;Incorrect Folding;Resolved;492.5
PRD07040;SupplierG;2023-03-09;Other;Resolved;380.0
PRD00634;SupplierC;2023-11-07;Missing Items;Resolved;739.0
PRD07217;SupplierB;2023-09-10;Other;Resolved;193.0
PRD00119;SupplierC;2024-03-28;Labeling Error;Resolved;236.0
PRD03544;SupplierF;2023-06-08;Incorrect Folding;In Progress;197.5
